Name,Date,Count,,
Anchor,7/31/2005,15,,
Ancient_Egypt,6/10/2005,41,,
Ancient_Egyptian_religion,3/6/2004,30,,
Ancient_History,2/21/2002,11,,
Ancient_Pueblo_Peoples,2/1/2006,11,,
Andalusia,10/22/2006,16,,
Andaman_Islands,3/18/2006,10,,
Andersonville,5/25/2005,_Georgia,10,
Anders_Celsius,10/23/2006,11,,
Andes,2/6/2006,13,,
Andhra_Pradesh,2/5/2004,14,,
Andorra,4/21/2004,12,,
Andr,11/17/2004,11,,
Andreas_Schl,10/27/2003,14,,
Andrei_Sakharov,5/17/2007,12,,
Andrei_Tarkovsky,11/26/2007,20,,
Andrew_(disambiguation),4/13/2005,10,,
Andrew_Carnegie,9/24/2004,16,,
Andrew_Jackson,11/19/2004,17,,
Andrew_Johnson,12/9/2004,10,,
Andrew_S._Tanenbaum,8/7/2002,14,,
Andrew_Wiles,4/14/2006,41,,
Andre_Agassi,2/25/2005,14,,
Android,11/6/2005,14,,
Andromeda_(mythology),12/12/2006,10,,
Andy_Warhol,9/29/2005,12,,
And_Then_There_Were_None,1/6/2006,12,,
Anemometer,2/13/2007,11,,
Angel,3/19/2005,13,,
Angers,9/8/2002,18,,
Angle,7/18/2007,10,,
Angles,11/14/2007,13,,
Anglesey,7/25/2006,15,,
Anglicanism,1/3/2006,10,,
Anglican_Communion,7/22/2005,17,,
Anglo-Saxon_Chronicle,4/7/2007,14,,
Angola,11/17/2003,10,,
Anguilla,9/12/2006,17,,
Angus,6/19/2007,10,,
Ang_Lee,1/17/2006,32,,
Animal_Farm,9/28/2005,16,,
Animaniacs,8/26/2004,18,,
Animation,12/30/2005,28,,
Anime,9/8/2002,10,,
Animism,11/19/2004,12,,
Anita_Hill,10/2/2007,20,,
Ani_DiFranco,3/15/2006,10,,
Ankara,2/23/2006,12,,
Ankh-Morpork,2/28/2004,10,,
Anna_Kournikova,9/18/2006,10,,
Annexation,12/9/2006,10,,
Anne_of_Great_Britain,9/19/2004,24,,
Anne_Rice,7/26/2005,14,,
Anno_Domini,4/5/2004,12,,
Ann_Arbor,8/3/2004,_Michigan,10,
Ann_Druyan,4/8/2004,13,,
Ann_Widdecombe,10/4/2006,13,,
Anode,2/27/2006,13,,
Anointing_of_the_Sick,3/31/2005,10,,
Anomalous_phenomenon,3/16/2006,12,,
Ansar_al-Islam,3/22/2003,10,,
Anschluss,5/23/2005,29,,
Anselm's_argument,9/22/2003,10,,
Anselm_of_Canterbury,10/28/2004,13,,
Ansgar,4/19/2006,13,,
Ant,12/18/2005,12,,
Antarctica,6/9/2005,10,,
Antarctic_krill,4/7/2003,13,,
Antarctic_Treaty_System,10/21/2007,21,,
Antares,5/7/2007,12,,
Anthem,9/8/2002,21,,
Anthony_Eden,1/12/2006,14,,
Anthony_Hopkins,6/18/2006,11,,
Anthropic_principle,8/27/2006,29,,
Anthropology,3/23/2006,12,,
Anthropomorphism,10/27/2005,25,,
Anthroposophy,8/28/2004,10,,
Anti-ballistic_missile,2/21/2006,17,,
Anti-Ballistic_Missile_Treaty,5/26/2006,23,,
Anti-communism,7/13/2004,13,,
Anti-globalization_movement,9/27/2002,14,,
Anti-intellectualism,8/5/2003,17,,
Anti-psychiatry,2/17/2002,21,,
Anti-realism,1/30/2007,14,,
Antibiotic,2/6/2006,10,,
Antibiotic_resistance,11/13/2002,12,,
Antibody,6/25/2006,19,,
Antidepressant,10/1/2006,10,,
Antiderivative,12/11/2005,12,,
Antidisestablishmentarianism,3/29/2006,10,,
Antigen,9/7/2007,11,,
Antigua_and_Barbuda,6/11/2006,10,,
Antimatter,5/1/2006,13,,
Antimony,4/12/2007,13,,
Antinomy,2/11/2004,18,,
Antioxidant,4/9/2006,22,,
Antiparticle,9/25/2004,18,,
Antipope,6/18/2004,10,,
Antiprism,2/8/2006,10,,
Antipsychotic,8/10/2007,19,,
Antisemitism,1/25/2003,12,,
Antisemitism_in_the_New_Testament,12/30/2001,12,,
Antoine_Lavoisier,12/7/2005,32,,
Antoninus_Pius,3/10/2006,10,,
Antonio_Canova,3/10/2006,11,,
Antonio_Gramsci,6/12/2002,11,,
Antonio_Vivaldi,12/22/2005,10,,
Antoni_Gaud,11/2/2005,12,,
Anton_Chekhov,11/13/2003,42,,
Anubis,6/5/2005,39,,
Anus,11/5/2004,18,,
Anxiety,11/18/2005,18,,
Anxiolytic,11/2/2005,14,,
An_Enquiry_concerning_Human_Understanding,9/16/2006,11,,
AOL,10/19/2004,12,,
AOL_Instant_Messenger,3/2/2006,11,,
Aon_Corp.,12/3/2004,10,,
Apache_HTTP_Server,12/26/2005,26,,
Aphasia,12/16/2006,11,,
Aphex_Twin,7/8/2005,23,,
Aphrodite,9/16/2005,13,,
Apicomplexa,10/4/2006,12,,
APL,9/23/2007,10,,
APL_(programming_language),11/17/2006,12,,
Apocalypse_Now,3/3/2005,10,,
Apocrypha,12/4/2004,15,,
Apollo,9/1/2002,15,,
Apollo_1,1/27/2006,21,,
Apollo_11,7/20/2005,12,,
Apollo_13,10/4/2005,11,,
Apollo_14,7/3/2004,10,,
Apollo_15,6/17/2005,10,,
Apollo_16,1/9/2007,18,,
Apollo_17,12/19/2005,11,,
Apollo_8,3/9/2005,15,,
Apollo_9,12/5/2007,11,,
Apollo_program,7/5/2004,10,,
Apoptosis,11/23/2004,20,,
Apostle,10/3/2005,10,,
Apostles'_Creed,4/18/2006,13,,
Apostolic_Succession,7/7/2006,14,,
Apparent_magnitude,7/19/2003,16,,
Appeal,6/1/2007,15,,
Appellate_court,11/28/2007,10,,
Applesoft_BASIC,11/29/2007,11,,
AppleTalk,9/14/2004,10,,
Apple_I,4/22/2007,10,,
Apple_II_series,12/12/2005,18,,
Apple_Inc.,8/20/2004,11,,
Apple_Newton,1/27/2007,41,,
Application_programming_interface,2/15/2002,10,,
Applied_mathematics,4/2/2007,10,,
Approval_voting,9/26/2007,10,,
April,11/29/2005,13,,
April_1,4/1/2003,11,,
April_1,4/1/2002,_2002,25,
April_10,8/9/2005,25,,
April_11,8/9/2005,15,,
April_12,7/3/2005,21,,
April_13,4/13/2004,10,,
April_14,8/10/2005,13,,
April_15,4/15/2005,12,,
April_16,4/16/2004,16,,
April_17,4/17/2005,11,,
April_18,4/18/2004,13,,
April_19,4/19/2004,10,,
April_2,4/2/2005,24,,
April_20,4/20/2004,18,,
April_21,4/21/2005,14,,
April_22,4/22/2004,14,,
April_23,4/23/2005,21,,
April_24,4/24/2005,17,,
April_25,4/25/2005,16,,
April_26,4/27/2005,15,,
April_27,4/28/2005,10,,
April_28,4/28/2005,10,,
April_29,4/29/2006,13,,
April_3,4/4/2005,11,,
April_30,4/30/2004,16,,
April_4,8/8/2005,14,,
April_5,4/5/2005,11,,
April_6,4/6/2004,12,,
April_7,4/7/2004,11,,
April_8,4/8/2005,12,,
April_9,4/9/2004,11,,
April_Fools'_Day,4/1/2002,20,,
Apron_dress,6/8/2002,12,,
Apuleius,10/15/2007,10,,
Apus,11/20/2006,10,,
Aquaculture,2/10/2007,12,,
Aquarium,1/7/2005,10,,
Arab,4/25/2004,13,,
Arabic_alphabet,1/5/2003,23,,
Arabic_language,4/5/2004,11,,
Arabic_numerals,2/13/2003,10,,
Arable_land,6/24/2006,11,,
Arabs_and_antisemitism,11/22/2002,11,,
Arachnophobia,10/6/2006,10,,
Aramaic_language,2/16/2005,18,,
Ara_(constellation),11/20/2006,12,,
Arbeit_macht_frei,10/7/2006,12,,
Arbitrage,11/24/2006,14,,
Arbor_Day,3/12/2007,11,,
Archaea,1/26/2007,13,,
Archaeoastronomy,6/30/2006,10,,
Archaeology,4/23/2004,12,,
Archaeopteryx,12/3/2005,13,,
Archbishop_of_Canterbury,3/28/2004,14,,
Archduke_Charles,5/22/2007,_Duke_of_Teschen,10,
Archery,11/28/2005,21,,
Arches_National_Park,5/30/2007,16,,
Archie_Moore,12/26/2002,15,,
Archimedean_solid,12/7/2006,10,,
Archimedes,7/8/2003,10,,
Archimedes_Palimpsest,1/10/2003,12,,
Archipelago,2/1/2007,12,,
Architect,9/8/2005,10,,
Architectural_engineering,10/15/2006,10,,
Architectural_style,7/28/2003,13,,
Architecture_of_Cambodia,8/5/2007,25,,
Arctic_Circle,11/1/2002,17,,
Arctic_fox,11/10/2006,10,,
Arctic_Ocean,12/7/2006,12,,
Arcturus,2/7/2007,10,,
Arc_de_Triomphe,2/23/2006,11,,
Area,4/29/2006,12,,
Area_51,9/15/2003,10,,
Ares,1/22/2006,10,,
Argentina,11/9/2004,13,,
Argon,4/8/2006,11,,
Arguments_for_the_existence_of_God,1/29/2004,11,,
Argument_from_evolution,2/12/2006,94,,
Argument_from_ignorance,9/8/2003,19,,
Argument_from_morality,9/21/2005,14,,
Arianespace,10/1/2007,11,,
Ariane_5,12/29/2004,56,,
Arianism,6/29/2005,10,,
Aria_Giovanni,10/11/2002,10,,
Ariel,4/16/2006,14,,
Ariel_Sharon,7/19/2003,12,,
Aries_(constellation),7/17/2006,11,,
Aristotle,12/29/2001,10,,
Arithmetic,5/8/2006,10,,
Arizona,6/16/2004,13,,
Arizona_Cardinals,9/30/2006,17,,
Arizona_Diamondbacks,3/5/2006,24,,
Arizona_State_University,6/29/2005,10,,
Arkansas,1/22/2006,31,,
Arlington,5/7/2003,_Massachusetts,11,
Arlo_Guthrie,6/10/2007,18,,
Armadillo,8/30/2007,12,,
Armageddon,11/29/2006,13,,
Armed_Forces_of_Liberia,9/9/2007,12,,
Armenian_alphabet,12/11/2006,11,,
Armenian_language,12/22/2006,10,,
Arminianism,11/28/2005,15,,
Armour,1/9/2006,24,,
Armoured_fighting_vehicle,11/27/2007,11,,
Army,4/16/2005,14,,
Arnold_Mathew,8/25/2007,25,,
Arnold_Schwarzenegger,8/7/2003,35,,
Arnulf_of_Carinthia,5/30/2003,12,,
Aromatherapy,7/12/2005,24,,
Aromatic_hydrocarbon,8/2/2003,29,,
Aron_Nimzowitsch,12/4/2004,18,,
Arrangement,10/15/2006,11,,
Array,2/9/2006,10,,
Arsenic,11/29/2005,10,,
Art,7/21/2004,17,,
Artemis,4/7/2005,10,,
Arteriovenous_malformation,12/14/2006,12,,
Arthritis,6/2/2004,10,,
Arthropod,4/3/2006,16,,
Arthur_C._Clarke,5/4/2005,10,,
Arthur_Conan_Doyle,5/22/2006,25,,
Arthur_Jensen,11/13/2006,10,,
Arthur_Koestler,1/1/2006,13,,
Arthur_Miller,2/11/2005,35,,
Arthur_Phillip,11/22/2004,17,,
Arthur_Schopenhauer,1/19/2005,14,,
