Intelligent_design,2005-12-21T00:51:11Z,ip:68.6.40.203,ip:68.6.40.203,"/* Intelligent design as science */ science uses methodological naturalism, not a methodological ""assumption"" of ""philosophical naturalism"" ... also, minor spelling and grammar fixes ","0
"
Intelligent_design,2005-12-21T19:18:11Z,FeloniousMonk,44964,"/* ""What (or who) designed the designer?"" */grammar ","0
"
Intelligent_design,2005-12-21T19:22:19Z,FeloniousMonk,44964,fmt ,"0
"
Intelligent_design,2005-12-21T19:37:31Z,Jossi,60449,"/* ""What (or who) designed the designer?"" */ Critics argument ","0
"
Intelligent_design,2005-12-21T19:38:48Z,FeloniousMonk,44964,"/* Critics argument: ""What (or who) designed the designer?"" */ rm editorial comment from heading ","0
"
Intelligent_design,2005-12-21T19:40:03Z,Jossi,60449,"Give me a chance , FM. ","0
"
Intelligent_design,2005-12-21T19:54:09Z,Duncharris,47291,Reverted edits by [[Special:Contributions/Jossi|Jossi]] ([[User talk:Jossi|talk]]) to last version by FeloniousMonk ,"0
"
Intelligent_design,2005-12-21T20:08:38Z,FeloniousMonk,44964,"/* ""What (or who) designed the designer?"" */ renaming to ""Origin of the designer"" ","0
"
Intelligent_design,2005-12-21T21:42:48Z,Harry491,208573,/* The designer or designers */ shorten. I'll move some of this stuff to the daughter article. ,"0
"
Intelligent_design,2005-12-21T21:43:40Z,Harry491,208573,/* The designer or designers */ fix quote marks ,"0
"
Intelligent_design,2005-12-21T21:51:40Z,Harry491,208573,/* The designer or designers */ shortening this section as well. ,"0
"
Intelligent_design,2005-12-21T21:54:23Z,Harry491,208573,/* Notes and references */ remove unused references ,"0
"
Intelligent_design,2005-12-21T21:56:51Z,Jossi,60449,/* The designer or designers */ now we don't need a subsection ,"0
"
Intelligent_design,2005-12-21T22:03:55Z,Jossi,60449,/* Intelligent design debate */ Grouping criticism ,"0
"
Intelligent_design,2005-12-21T22:04:59Z,Harry491,208573,/* The designer or designers */ more shorten ,"0
"
Intelligent_design,2005-12-21T22:06:21Z,Harry491,208573,/* The designer or designers */ tweak ,"0
"
Intelligent_design,2005-12-21T22:06:21Z,Jossi,60449,grouping subsects ,"0
"
Intelligent_design,2005-12-21T22:07:54Z,Harry491,208573,/* The designer or designers */ another tweak ,"0
"
Intelligent_design,2005-12-21T22:09:41Z,Harry491,208573,/* The designer or designers */ reduce redundancy and move a good sentence to the end of the next paragraph ,"0
"
Intelligent_design,2005-12-21T22:11:26Z,Harry491,208573,/* The designer or designers */ this is not just according to critics ,"0
"
Intelligent_design,2005-12-21T22:16:06Z,Harry491,208573,/* The designer or designers */ various changes ,"0
"
Intelligent_design,2005-12-21T22:54:46Z,FeloniousMonk,44964,/* The designer or designers */ readding a significant criticism and copyedit for logical progression ,"0
"
Intelligent_design,2005-12-21T22:56:03Z,FeloniousMonk,44964,/* Notes and references */ + ,"0
"
Intelligent_design,2005-12-21T23:04:20Z,FeloniousMonk,44964,/* The designer or designers */ Skeptics ---> critics ,"0
"
Intelligent_design,2005-12-21T23:05:32Z,FeloniousMonk,44964,/* The designer or designers */ grammar ,"0
"
Intelligent_design,2005-12-21T23:06:36Z,FeloniousMonk,44964,/* The designer or designers */ grammar ,"0
"
Intelligent_design,2005-12-21T23:08:09Z,FeloniousMonk,44964,"/* The designer or designers */ ""the theory"" ---> intelligent design. ","0
"
Intelligent_design,2005-12-21T23:08:29Z,FeloniousMonk,44964,/* The designer or designers */ fmt ,"0
"
Intelligent_design,2005-12-21T23:09:47Z,Harry491,208573,/* The designer or designers */ shorten and clarify Wein ,"0
"
Intelligent_design,2005-12-21T23:11:06Z,Harry491,208573,/* The designer or designers */ fix link ,"0
"
Intelligent_design,2005-12-21T23:14:33Z,Harry491,208573,/* The designer or designers */ reorder paragraphs ,"0
"
Intelligent_design,2005-12-21T23:16:00Z,Harry491,208573,/* The designer or designers */ kill bad links ,"0
"
Intelligent_design,2005-12-21T23:17:06Z,Harry491,208573,/* The designer or designers */ minor ,"0
"
Intelligent_design,2005-12-21T23:17:29Z,Harry491,208573,/* The designer or designers */ minor ,"0
"
Intelligent_design,2005-12-21T23:20:58Z,FeloniousMonk,44964,/* The designer or designers */readding a necessary criticism ,"0
"
Intelligent_design,2005-12-21T23:21:40Z,Harry491,208573,/* The designer or designers */ shorten coyne again ,"0
"
Intelligent_design,2005-12-21T23:22:25Z,FeloniousMonk,44964,/* The designer or designers */ I see it was moved ,"0
"
Intelligent_design,2005-12-21T23:30:28Z,FeloniousMonk,44964,/* Notes and references */ footnote ordering ,"0
"
Intelligent_design,2005-12-21T23:42:25Z,FeloniousMonk,44964,/* See also */ rm marginally relevant links ,"0
"
Intelligent_design,2005-12-21T23:43:02Z,FeloniousMonk,44964,/* See also */ fmt ,"0
"
Intelligent_design,2005-12-21T23:43:27Z,FeloniousMonk,44964,/* See also */ fmt ,"0
"
Intelligent_design,2005-12-21T23:45:32Z,FeloniousMonk,44964,"/* See also */ rm marginally relevant link, add one more relevant ","0
"
