,,,AmericanSamoa ,2001-01-19T01:12:51Z ,ip:office.bomis.com ,ip:office.bomis.com ,*  ,1
,,,Apollo_11 ,2007-07-17T21:44:07Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Mission highlights */  ,1
,,,Apollo_11 ,2007-07-17T21:44:13Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Communications link */  ,1
,,,Apollo_11 ,2007-07-17T21:44:18Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Mission insignia */  ,1
,,,Apollo_11 ,2007-07-17T21:44:26Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Depiction in fiction */  ,1
,,,Apollo_11 ,2007-07-17T21:44:31Z ,Bart133 ,134523 ,Revert to revision 145307190 dated 2007-07-17 21:42:54 by Savie Kumara using [[:en:Wikipedia:Tools/Navigation_popups|popups]]  ,1
,,,Apollo_11 ,2007-07-17T21:44:49Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Backup crew */  ,1
,,,Apollo_11 ,2007-07-17T21:44:58Z ,ip:86.105.210.6 ,ip:86.105.210.6 ,/* Primary crew */  ,1
,,,Apollo_11 ,2007-07-17T21:45:04Z ,Savie_Kumara ,4784439 ,rv  ,1
,,,Apollo_11 ,2007-07-17T21:46:21Z ,Bart133 ,134523 ,rvv  ,1
,,,Apollo_11 ,2007-07-17T22:15:05Z ,Evil_Monkey ,140548 ,rv even further back  ,1
,,,Astronaut ,2006-07-04T15:15:17Z ,ip:68.188.60.25 ,ip:68.188.60.25 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T15:18:34Z ,ip:84.66.144.108 ,ip:84.66.144.108 ,/* International variations */  ,1
,,,Astronaut ,2006-07-04T19:55:56Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T19:58:26Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T19:58:57Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:00:54Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:01:49Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:02:05Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:03:32Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:04:01Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:05:45Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:08:27Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:09:55Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Astronaut deaths */  ,1
,,,Astronaut ,2006-07-04T20:20:20Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:20:49Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:21:25Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:21:42Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:21:59Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:22:10Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:22:28Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:22:40Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:23:14Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:23:36Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:24:06Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:24:18Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:24:28Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:24:40Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:24:51Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:25:01Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T20:26:22Z ,ip:70.246.171.89 ,ip:70.246.171.89 ,/* Space milestones */  ,1
,,,Astronaut ,2006-07-04T23:18:29Z ,Richardcavell ,357679 ,/* Space milestones */ minor fixup  ,1
,,,Albert_Einstein ,2007-03-14T00:08:10Z ,TEB728 ,302457 ,/* Youth and schooling */ they were not obervant at all  ,1
,,,Albert_Einstein ,2007-03-14T01:01:21Z ,Otterpops ,3557100 ,/* Bose‚ÄìEinstein statistics */ citation  ,1
,,,Albert_Einstein ,2007-03-14T01:05:17Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
 note  •1,,,Albert_Einstein ,2007-03-14T01:11:03Z ,Otterpops ,3557100 ,/* The Einstein Refrigerator */ citation,
,,,Albert_Einstein ,2007-03-14T01:21:26Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T01:27:42Z ,Otterpops ,3557100 ,/* Bohr v. Einstein */ citation  ,1
,,,Albert_Einstein ,2007-03-14T01:40:27Z ,Otterpops ,3557100 ,/* By Albert Einstein */ reference  ,1
 note, cite?  •1,,Albert_Einstein ,2007-03-14T01:45:00Z ,Otterpops ,3557100 ,/* Bohr v. Einstein */ citation,
,,,Albert_Einstein ,2007-03-14T01:47:23Z ,Otterpops ,3557100 ,/* Religious views */ citation  ,1
 note  •1,,,Albert_Einstein ,2007-03-14T01:55:53Z ,Otterpops ,3557100 ,/* Religious views */ citation,
,,,Albert_Einstein ,2007-03-14T01:59:25Z ,Otterpops ,3557100 ,/* By Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T02:02:43Z ,Otterpops ,3557100 ,/* Religious views */ citation  ,1
,,,Albert_Einstein ,2007-03-14T02:09:29Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T02:18:07Z ,Otterpops ,3557100 ,/* Religious views */ citation  ,1
,,,Albert_Einstein ,2007-03-14T02:26:38Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T02:27:42Z ,Otterpops ,3557100 ,/* Religious views */  ,1
,,,Albert_Einstein ,2007-03-14T02:34:51Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T06:55:23Z ,Gilisa ,3544868 ,Einstein wasnt an ethnic german nor did he represent himself as such.  ,1
 try for a consensus on the talk page  •1,,,Albert_Einstein ,2007-03-14T07:40:17Z ,TEB728 ,302457 ,Culturally he was both German and Jewish; if you want to change this,
,,,Albert_Einstein ,2007-03-14T08:31:17Z ,Gilisa ,3544868 , ,1
,,,Albert_Einstein ,2007-03-14T09:44:08Z ,Van_helsing ,1099150 ,see talk page  ,1
,,,Albert_Einstein ,2007-03-14T11:34:32Z ,SmackBot ,433328 ,Date/fix maintenance tags  ,1
,,,Albert_Einstein ,2007-03-14T12:14:18Z ,Gilisa ,3544868 , ,1
,,,Albert_Einstein ,2007-03-14T16:35:39Z ,Otterpops ,3557100 ,/* Dangerous Politics */ note  ,1
,,,Albert_Einstein ,2007-03-14T16:49:28Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
 note  •1,,,Albert_Einstein ,2007-03-14T16:53:52Z ,Otterpops ,3557100 ,/* Nazism */ citation,
,,,Albert_Einstein ,2007-03-14T16:55:19Z ,Otterpops ,3557100 ,/* Nazism */ cite?  ,1
,,,Albert_Einstein ,2007-03-14T16:58:51Z ,Otterpops ,3557100 ,/* Nazism */ citation  ,1
,,,Albert_Einstein ,2007-03-14T17:13:32Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T17:16:13Z ,Otterpops ,3557100 ,/* Nazism */ citation  ,1
,,,Albert_Einstein ,2007-03-14T17:39:15Z ,Otterpops ,3557100 ,/* Nazism */ note  ,1
 note  •1,,,Albert_Einstein ,2007-03-14T17:54:20Z ,Otterpops ,3557100 ,/* Nazism */ citation,
,,,Albert_Einstein ,2007-03-14T18:03:11Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
 language  •1,,,Albert_Einstein ,2007-03-14T18:06:19Z ,Otterpops ,3557100 ,/* Nazism */ note,
,,,Albert_Einstein ,2007-03-14T18:08:59Z ,Otterpops ,3557100 ,/* Nazism */ de-cite?  ,1
 no sarcasm allowed  •1,,,Albert_Einstein ,2007-03-14T18:10:35Z ,Otterpops ,3557100 ,/* Nazism */ NPOV,
,,,Albert_Einstein ,2007-03-14T18:11:57Z ,Otterpops ,3557100 ,/* Nazism */ comma  ,1
,,,Albert_Einstein ,2007-03-14T18:17:14Z ,Otterpops ,3557100 ,/* Nazism */ citation  ,1
,,,Albert_Einstein ,2007-03-14T18:50:43Z ,Otterpops ,3557100 ,/* Nazism */ cite? note  ,1
,,,Albert_Einstein ,2007-03-14T18:51:57Z ,Otterpops ,3557100 ,/* Nazism */ language  ,1
,,,Albert_Einstein ,2007-03-14T18:56:33Z ,Otterpops ,3557100 ,/* Zionism */ citation  ,1
,,,Albert_Einstein ,2007-03-14T19:04:46Z ,Otterpops ,3557100 ,/* About Albert Einstein */ Reference  ,1
,,,Albert_Einstein ,2007-03-14T19:06:06Z ,Otterpops ,3557100 ,/* Zionism */ language  ,1
,,,Albert_Einstein ,2007-03-14T19:10:58Z ,SmackBot ,433328 ,Date/fix maintenance tags  ,1
,,,Albert_Einstein ,2007-03-14T19:12:16Z ,Otterpops ,3557100 ,/* Zionism */ citation  ,1
,,,Albert_Einstein ,2007-03-14T19:23:04Z ,Otterpops ,3557100 ,/* By Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T19:33:06Z ,Otterpops ,3557100 ,/* Zionism */ citation  ,1
,,,Albert_Einstein ,2007-03-14T19:39:04Z ,TEB728 ,302457 ,/* Youth and schooling */ rm matura image: without explanatory text it is confusing  ,1
,,,Albert_Einstein ,2007-03-14T19:39:10Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T19:40:39Z ,Otterpops ,3557100 ,/* Zionism */ citation  ,1
 cite?  •1,,,Albert_Einstein ,2007-03-14T19:45:30Z ,Otterpops ,3557100 ,/* Zionism */ citation,
,,,Albert_Einstein ,2007-03-14T19:47:37Z ,Otterpops ,3557100 ,/* Zionism */ language  ,1
,,,Albert_Einstein ,2007-03-14T19:49:11Z ,Mattieo9123 ,3784303 ,/* The patent office */  ,1
 note  •1,,,Albert_Einstein ,2007-03-14T19:50:37Z ,Otterpops ,3557100 ,/* McCarthyism */ citation,
,,,Albert_Einstein ,2007-03-14T19:51:53Z ,Mattieo9123 ,3784303 ,/* The patent office */  ,1
,,,Albert_Einstein ,2007-03-14T19:58:02Z ,Mattieo9123 ,3784303 ,/* The patent office */  ,1
 citation  •1,,,Albert_Einstein ,2007-03-14T20:02:55Z ,Otterpops ,3557100 ,/* McCarthyism */ language,
,,,Albert_Einstein ,2007-03-14T20:10:14Z ,Otterpops ,3557100 ,/* By Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T20:16:24Z ,Otterpops ,3557100 ,/* McCarthyism */ comma  ,1
,,,Albert_Einstein ,2007-03-14T20:18:13Z ,Otterpops ,3557100 ,/* McCarthyism */ comma  ,1
,,,Albert_Einstein ,2007-03-14T20:19:17Z ,Otterpops ,3557100 ,/* McCarthyism */ cite?  ,1
,,,Albert_Einstein ,2007-03-14T20:23:11Z ,Otterpops ,3557100 ,/* McCarthyism */ de-cite? note  ,1
,,,Albert_Einstein ,2007-03-14T20:48:41Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
 as it's an editorial note for the writer, not reader  •1,,Albert_Einstein ,2007-03-14T20:56:14Z ,Flcelloguy ,267668 ,/* McCarthyism */ Place ref comments in hidden <!--comments-->; not appropriate as a footnote,
,,,Albert_Einstein ,2007-03-14T20:57:18Z ,Flcelloguy ,267668 ,Unprotected Albert Einstein: Unprotect; vandalism has subsided  ,1
,,,Albert_Einstein ,2007-03-14T20:57:54Z ,Flcelloguy ,267668 ,No longer {{sprotected2}}  ,1
 de-cite?  •1,,,Albert_Einstein ,2007-03-14T21:06:10Z ,Otterpops ,3557100 ,/* McCarthyism */ citations,
,,,Albert_Einstein ,2007-03-14T21:09:16Z ,Otterpops ,3557100 ,/* Death */ citation  ,1
,,,Albert_Einstein ,2007-03-14T21:18:41Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T21:22:00Z ,Otterpops ,3557100 ,/* Death */ language  ,1
,,,Albert_Einstein ,2007-03-14T21:25:18Z ,Otterpops ,3557100 ,/* Death */ citation  ,1
,,,Albert_Einstein ,2007-03-14T21:32:15Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T21:34:00Z ,Netscott ,288487 ,Clear up the blank space in the lead. Utilize this template I've created: {{[[Template:TOChidden|TOChidden]]}}  ,1
,,,Albert_Einstein ,2007-03-14T21:35:32Z ,Otterpops ,3557100 ,/* Death */ removed Can O'Worms  ,1
,,,Albert_Einstein ,2007-03-14T21:37:35Z ,Otterpops ,3557100 ,/* Death */ citation  ,1
,,,Albert_Einstein ,2007-03-14T21:40:24Z ,Otterpops ,3557100 ,/* Death */ citation  ,1
,,,Albert_Einstein ,2007-03-14T21:45:26Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T21:46:18Z ,Otterpops ,3557100 ,/* Death */ citation  ,1
,,,Albert_Einstein ,2007-03-14T21:47:26Z ,Otterpops ,3557100 ,/* Death */ cite?  ,1
,,,Albert_Einstein ,2007-03-14T21:49:56Z ,Otterpops ,3557100 ,/* Death */ removed 404 ref link  ,1
,,,Albert_Einstein ,2007-03-14T22:00:39Z ,ip:216.87.145.186 ,ip:216.87.145.186 ,"changed ""did became"" to ""became"" in the Nazism section  ",1
,,,Albert_Einstein ,2007-03-14T22:27:59Z ,Otterpops ,3557100 ,/* Death */ name & image license? citation  ,1
,,,Albert_Einstein ,2007-03-14T22:33:33Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T22:37:08Z ,Otterpops ,3557100 ,/* Honors */ citation  ,1
,,,Albert_Einstein ,2007-03-14T22:43:07Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
 language  •1,,,Albert_Einstein ,2007-03-14T22:47:26Z ,Otterpops ,3557100 ,/* Honors */ citation,
,,,Albert_Einstein ,2007-03-14T22:52:57Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T22:53:49Z ,Suruena ,140178 ,Floating TOC after the lead section. See [[Wikipedia:Accessibility#Article structure]]  ,1
,,,Albert_Einstein ,2007-03-14T22:53:56Z ,Otterpops ,3557100 ,/* Honors */ citation  ,1
,,,Albert_Einstein ,2007-03-14T22:57:59Z ,Otterpops ,3557100 ,/* Einstein in popular culture */ citation  ,1
,,,Albert_Einstein ,2007-03-14T23:03:32Z ,Otterpops ,3557100 ,/* About Albert Einstein */ reference  ,1
,,,Albert_Einstein ,2007-03-14T23:06:46Z ,ip:68.46.77.201 ,ip:68.46.77.201 ,/* Youth and schooling */  ,1
,,,Albert_Einstein ,2007-03-14T23:09:36Z ,Otterpops ,3557100 ,/* Einstein in popular culture */ reference  ,1
,,,Albert_Einstein ,2007-03-14T23:11:10Z ,Otterpops ,3557100 ,/* Einstein in popular culture */ language  ,1
,,,Albert_Einstein ,2007-03-14T23:15:35Z ,Otterpops ,3557100 ,/* Youth and schooling */ note  ,1
,,,Albert_Einstein ,2007-03-14T23:20:47Z ,Otterpops ,3557100 ,/* The patent office */ spacing  ,1
,,,Albert_Einstein ,2007-03-14T23:22:29Z ,Otterpops ,3557100 ,/* The patent office */ more spacing  ,1
,,,Albert_Einstein ,2007-03-14T23:23:25Z ,Otterpops ,3557100 ,/* The patent office */ spacing  ,1
,,,Albert_Einstein ,2007-03-14T23:29:42Z ,FreedomByDesign ,3373547 ,/* About Albert Einstein */ grammar  ,1
,,,Albert_Einstein ,2007-03-14T23:41:02Z ,FreedomByDesign ,3373547 ,/* Youth and schooling */ grammar  ,1
,,,Albert_Einstein ,2007-03-14T23:53:13Z ,SmackBot ,433328 ,Date/fix maintenance tags  ,1
,,,Ampere ,2006-10-23T19:03:09Z ,ip:86.112.196.165 ,ip:86.112.196.165 , ,1
,,,Ampere ,2006-10-23T19:03:11Z ,AntiVandalBot ,1574574 ,BOT - rv [[Special:Contributions/86.112.196.165|86.112.196.165]] ([[User talk:86.112.196.165|talk]]) to last version by 196.218.105.36  ,1
,,,Ampere ,2006-10-23T22:05:54Z ,ip:69.113.56.255 ,ip:69.113.56.255 ,/* Explanation */  ,1
,,,Ampere ,2006-10-23T22:06:17Z ,ip:69.113.56.255 ,ip:69.113.56.255 ,/* Explanation */  ,1
,,,Ampere ,2006-10-23T22:06:20Z ,Tawkerbot2 ,1022601 ,BOT - rv [[Special:Contributions/69.113.56.255|69.113.56.255]] ([[User talk:69.113.56.255|talk]]) to last version by AntiVandalBot  ,1
,,,Ampere ,2006-10-23T22:06:45Z ,ip:69.113.56.255 ,ip:69.113.56.255 ,/* Explanation */  ,1
,,,Ampere ,2006-10-23T22:06:46Z ,AntiVandalBot ,1574574 ,BOT - rv [[Special:Contributions/69.113.56.255|69.113.56.255]] ([[User talk:69.113.56.255|talk]]) to last version by Tawkerbot2  ,1
,,,Ampere ,2006-10-23T22:08:29Z ,ip:69.113.56.255 ,ip:69.113.56.255 ,/* Definition */  ,1
,,,Ampere ,2006-10-23T22:14:55Z ,ip:67.171.43.170 ,ip:67.171.43.170 ,revert  ,1
,,,Ampere ,2006-10-23T22:22:33Z ,ip:69.113.56.255 ,ip:69.113.56.255 ,/* Definition */  ,1
_clown_will_eat_me •603177 •Reverted edits by [[Special:Contributions/69.113.56.255|69.113.56.255]] ([[User talk:69.113.56.255|talk]]) to last version by 67.171.43.170  •1,,,Ampere ,2006-10-23T22:24:20Z ,Can't_sleep,,,
,,,Abner_Doubleday ,2007-02-05T22:15:48Z ,ip:70.158.138.38 ,ip:70.158.138.38 ,/* Brigade and division command in Virginia */  ,1
,,,Abner_Doubleday ,2007-02-05T22:16:14Z ,ip:70.158.138.38 ,ip:70.158.138.38 ,/* Gettysburg */  ,1
