Date,Name,Count
6/3/2005,Atlantis,54
6/4/2005,Ark_of_the_Covenant,57
6/5/2005,Anarchism,49
6/6/2005,Amun,49
6/13/2005,Albert_Einstein,83
6/15/2005,Convention_on_Psychotropic_Substances,73
6/16/2005,Abortion,83
6/17/2005,Abortion,99
6/20/2005,Abortion,49
6/20/2005,Batman,63
6/20/2005,Convention_on_Psychotropic_Substances,74
6/23/2005,Anarcho-capitalism,51
6/26/2005,Ku_Klux_Klan,47
6/26/2005,Batman,53
7/6/2005,Anarchism,52
7/7/2005,Anarchism,90
7/8/2005,Christianity,64
7/9/2005,Anarchism,76
7/10/2005,Donald_Rumsfeld,93
7/10/2005,Anarchism,89
7/11/2005,Anarchism,51
7/21/2005,The_Ashes,106
7/24/2005,Conservatism,49
7/25/2005,Elvis_Presley,49
7/26/2005,Bill_Clinton,47
8/4/2005,Anarchism,72
8/4/2005,Carl_Friedrich_Gauss,75
8/9/2005,Anarchism,71
8/10/2005,Elvis_Presley,49
8/10/2005,Anarchism,74
8/12/2005,Battle_of_Jutland,85
8/16/2005,Counter-Strike,63
8/19/2005,Christianity,49
8/19/2005,Blaise_Pascal,78
8/21/2005,Anschluss,60
8/24/2005,Autism,107
8/26/2005,Ark_of_the_Covenant,100
8/28/2005,Hecate,93
8/28/2005,Chiropractic,58
8/29/2005,Batman,53
8/29/2005,Christianity,53
9/5/2005,Cat,159
9/9/2005,Anarcho-capitalism,138
9/14/2005,Catalyst,50
9/14/2005,Central_processing_unit,75
9/23/2005,Bj,61
9/29/2005,Blitzkrieg,109
10/4/2005,High_fidelity,55
10/5/2005,Abortion,48
10/7/2005,Bill_Gates,52
10/8/2005,IPv6,50
10/19/2005,Bill_Gates,50
10/20/2005,Bill_Gates,60
10/27/2005,Brain,55
10/27/2005,Chicago_White_Sox,102
11/3/2005,Bulgarian_language,69
11/4/2005,Claudius,77
11/7/2005,Christianity,56
11/7/2005,Arsenal_F.C.,152
11/9/2005,Anarchism,54
11/9/2005,Christianity,69
11/13/2005,Batman,53
11/14/2005,Anarchism,51
11/15/2005,Christianity,47
11/15/2005,Comet_Shoemaker-Levy_9,115
11/18/2005,Benjamin_Franklin,63
11/21/2005,Ariel_Sharon,67
11/29/2005,Cyberpunk,195
11/29/2005,Claudius,108
11/30/2005,Britney_Spears,63
12/5/2005,Confucianism,50
12/7/2005,Britney_Spears,48
12/7/2005,Anarchism,60
12/8/2005,Anarchism,63
12/9/2005,Anarchism,104
12/10/2005,Macintosh,47
12/11/2005,Britney_Spears,50
12/11/2005,Arabic_numerals,47
12/11/2005,Boxing,53
12/11/2005,Central_processing_unit,49
12/12/2005,Anarchism,91
12/12/2005,Boxing,76
12/13/2005,Bill_Clinton,49
12/13/2005,Dinosaur,64
12/13/2005,December_13,47
12/15/2005,Capitalism,49
12/15/2005,December_15,89
12/16/2005,Anarchism,65
12/16/2005,Abortion,53
12/16/2005,December_16,86
12/17/2005,Cue_sports,49
12/17/2005,December_17,89
12/18/2005,December_18,72
12/18/2005,Cue_sports,57
12/18/2005,Britney_Spears,58
12/19/2005,Ariel_Sharon,64
12/20/2005,Christmas,75
12/21/2005,Helen_Keller,58
12/21/2005,Britney_Spears,50
12/21/2005,Intelligent_design,121
12/21/2005,December_21,57
12/21/2005,Christmas,64
12/22/2005,Christmas,56
12/22/2005,Intelligent_design,53
12/23/2005,Christmas,105
12/23/2005,Book_of_Mormon,55
12/24/2005,Christmas,79
12/24/2005,Britney_Spears,48
12/25/2005,Batman,63
12/25/2005,Hanukkah,48
12/25/2005,Christmas,107
12/26/2005,Boxing_Day,56
12/26/2005,Christmas,49
12/26/2005,Gottfried_Leibniz,60
12/26/2005,Condom,94
12/28/2005,Boudica,55
12/28/2005,Beavis_and_Butt-head,56
12/29/2005,Blues,60
12/31/2005,Charles_Peirce,52
12/31/2005,Bigfoot,51
1/1/2006,Dinosaur,106
1/3/2006,Anarchism,48
1/3/2006,Britney_Spears,86
1/4/2006,Abortion,49
1/4/2006,Ariel_Sharon,91
1/4/2006,Anarchism,78
1/5/2006,Ariel_Sharon,207
1/6/2006,Ariel_Sharon,225
1/7/2006,Buffalo_Bills,54
1/7/2006,Ariel_Sharon,103
1/8/2006,Ariel_Sharon,49
1/9/2006,Ariel_Sharon,62
1/10/2006,Faroese_language,67
1/10/2006,Ariel_Sharon,67
1/10/2006,Britney_Spears,50
1/10/2006,Abortion,75
1/11/2006,Abortion,73
1/11/2006,Faroese_language,48
1/11/2006,Britney_Spears,60
1/12/2006,Apple_Inc.,52
1/13/2006,Game_theory,161
1/13/2006,Britney_Spears,54
1/14/2006,Excommunication,57
1/14/2006,Claudius,50
1/17/2006,Christianity,61
1/18/2006,Bipolar_disorder,50
1/19/2006,Christianity,63
1/20/2006,Benjamin_Franklin,57
1/20/2006,Anti-intellectualism,49
1/20/2006,Anarchism,208
1/21/2006,Concorde,48
1/23/2006,Anarchism,177
1/23/2006,Christianity,88
1/24/2006,Claudius,266
1/26/2006,Christianity,75
1/26/2006,Anarchism,66
1/28/2006,Hamas,102
1/28/2006,Freemasonry,51
1/30/2006,Evolution,46
1/30/2006,Charles_I_of_England,206
1/31/2006,Anarchism,69
2/1/2006,Bill_Clinton,51
2/1/2006,Creutzfeldt-Jakob_disease,53
2/2/2006,Cue_sports,51
2/3/2006,Capitalism,58
2/3/2006,Freemasonry,89
2/4/2006,Albert_Einstein,50
2/8/2006,Bill_Clinton,67
2/9/2006,Hindi,49
2/9/2006,Euro,49
2/9/2006,Caspar_David_Friedrich,53
2/9/2006,Freemasonry,47
2/10/2006,Macintosh,340
2/11/2006,Battle_of_Grunwald,57
2/12/2006,Argument_from_evolution,94
2/14/2006,Christianity,48
2/14/2006,Britney_Spears,46
2/17/2006,Anarchism,47
2/18/2006,Capital_punishment,47
2/18/2006,Errol_Morris,69
2/20/2006,Curling,52
2/20/2006,Bill_Clinton,49
2/22/2006,Anarchism,65
2/23/2006,Anarchism,57
2/23/2006,American_Civil_War,74
2/24/2006,Anarchism,138
2/25/2006,Durian,59
2/25/2006,Transcribing_JHVH,96
2/25/2006,Biathlon_World_Championships,46
2/26/2006,Abortion,46
2/26/2006,Albert_Einstein,48
2/27/2006,"Berkeley,_California",74
2/27/2006,Fortran,57
2/28/2006,Anarchism,62
2/28/2006,Christianity,46
2/28/2006,"Berkeley,_California",73
3/3/2006,Andrew_Jackson,47
3/4/2006,Euclidean_geometry,63
3/4/2006,Central_processing_unit,102
3/4/2006,Durian,51
3/5/2006,Guantanamo_Bay_Naval_Base,48
3/6/2006,Ang_Lee,51
3/7/2006,Abortion,54
3/8/2006,Abortion,52
3/9/2006,Clown,55
3/9/2006,Evolution,46
3/9/2006,George_Washington,48
3/10/2006,Athens,66
3/11/2006,Clown,49
3/12/2006,Bangladesh,69
3/13/2006,Antisemitism,67
3/13/2006,Bangladesh,49
3/16/2006,Abortion,49
3/20/2006,Bill_Gates,46
3/20/2006,Feminism,52
3/20/2006,Curtiss_P-40,86
3/20/2006,Abortion,46
3/22/2006,ETA,51
3/22/2006,Curtiss_P-40,61
3/23/2006,Ayn_Rand,46
3/23/2006,British_National_Party,47
3/23/2006,Christianity,53
3/23/2006,ETA,60
3/24/2006,Ayn_Rand,63
3/24/2006,British_National_Party,67
3/25/2006,Abortion,75
3/26/2006,Electrical_engineering,199
3/26/2006,Abortion,46
3/27/2006,Abortion,58
3/27/2006,Consciousness,54
3/27/2006,American_Civil_War,47
3/27/2006,Christianity,49
3/29/2006,Abortion,47
3/29/2006,Battery_(electricity),67
3/30/2006,A.S._Roma,54
3/31/2006,Arizona_State_University,74
4/2/2006,Berlin,87
4/3/2006,Empiricism,84
4/3/2006,Joseph_Stalin,72
4/3/2006,Elvis_Presley,46
4/3/2006,Bipolar_disorder,69
4/3/2006,Arthur_Miller,66
4/4/2006,Bipolar_disorder,78
4/5/2006,Bipolar_disorder,187
4/8/2006,Bipolar_disorder,95
4/8/2006,People's_Republic_of_China,86
4/9/2006,Antarctica,130
4/10/2006,Fuel_cell,60
4/11/2006,April_11,63
4/14/2006,People's_Republic_of_China,91
4/14/2006,Bipolar_disorder,166
4/15/2006,People's_Republic_of_China,67
4/15/2006,Bipolar_disorder,56
4/16/2006,Berlin,46
4/17/2006,British_National_Party,100
4/19/2006,Cheers,171
4/20/2006,Christianity,64
4/20/2006,People's_Republic_of_China,46
4/21/2006,Buckingham_Palace,203
4/21/2006,Christianity,50
4/21/2006,Disaster,98
4/21/2006,Bill_Clinton,47
4/21/2006,People's_Republic_of_China,55
4/24/2006,Christianity,55
4/24/2006,Iran,79
4/25/2006,Christianity,53
4/26/2006,Christianity,66
4/26/2006,Godzilla,50
4/26/2006,Bill_Gates,50
4/26/2006,Elvis_Presley,56
4/27/2006,Colonialism,65
4/27/2006,Bill_Clinton,70
4/27/2006,Cold_fusion,49
4/28/2006,Bill_Clinton,56
4/29/2006,Anarchism,56
4/30/2006,Brazil,87
5/5/2006,Cinco_de_Mayo,144
5/5/2006,Catalyst,48
5/5/2006,Apocalypse_Now,63
5/5/2006,Bipolar_disorder,56
5/8/2006,George_Washington,48
5/9/2006,Bill_Clinton,47
5/9/2006,Capital_punishment,69
5/9/2006,Colonialism,46
5/9/2006,Britney_Spears,58
5/10/2006,Britney_Spears,73
5/11/2006,Britney_Spears,58
5/15/2006,Buddy_Holly,81
5/15/2006,Bill_Clinton,55
5/16/2006,Christianity,69
5/16/2006,Buddy_Holly,96
5/17/2006,Christianity,78
5/17/2006,Colonialism,114
5/18/2006,Christianity,53
5/18/2006,Arsenal_F.C.,49
5/19/2006,Britney_Spears,54
5/19/2006,Christianity,89
5/20/2006,Cowboy_Bebop,62
5/20/2006,European_Union,58
5/20/2006,Eurovision_Song_Contest,47
5/20/2006,Christianity,56
5/21/2006,Eurovision_Song_Contest,78
5/21/2006,Brazil,78
5/22/2006,Brazil,68
5/22/2006,Aleister_Crowley,48
5/23/2006,Bill_Clinton,60
5/24/2006,Franklin_D._Roosevelt,76
5/26/2006,Enron,56
5/26/2006,E._T._A._Hoffmann,51
5/26/2006,American_Civil_War,49
5/28/2006,Functional_programming,48
6/7/2006,Batman,48
6/11/2006,Britney_Spears,48
6/16/2006,American_(word),54
6/16/2006,Bill_Gates,55
6/18/2006,Anglicanism,52
6/20/2006,Anglicanism,52
6/21/2006,Columbia_University,53
6/22/2006,Columbia_University,52
6/25/2006,A.C._Milan,51
6/25/2006,Columbia_University,73
6/25/2006,David_Beckham,67
6/26/2006,Anarchism,65
6/26/2006,David_Beckham,59
6/26/2006,Capitalism,87
6/27/2006,Enzyme,48
6/27/2006,Jewellery,63
6/27/2006,Capitalism,51
6/28/2006,Capitalism,51
6/29/2006,Capitalism,52
6/29/2006,Alcoholism,50
6/30/2006,Capitalism,70
7/1/2006,Capitalism,58
7/2/2006,David_Beckham,67
7/2/2006,Hermetic_Order_of_the_Golden_Dawn,49
7/2/2006,England_national_football_team,62
7/2/2006,American_Civil_War,50
7/3/2006,British_Army,51
7/5/2006,Anarchism,62
7/5/2006,Astrology,119
7/5/2006,British_Army,67
7/6/2006,Astrology,58
7/8/2006,Anarchism,51
7/10/2006,FIFA_World_Cup,72
7/11/2006,"Houston,_Texas",63
7/11/2006,"Big_Dig_(Boston,_Massachusetts)",49
7/12/2006,Film_noir,55
7/12/2006,Astrology,54
7/13/2006,Classical_guitar,48
7/14/2006,Bangladesh,215
7/16/2006,AK-47,52
7/19/2006,AK-47,74
7/19/2006,American_Civil_War,47
7/19/2006,Astrology,68
7/22/2006,Cryptography,140
7/25/2006,American_Civil_War,59
7/27/2006,Anarcho-capitalism,48
7/28/2006,People's_Republic_of_China,59
8/5/2006,Elephant,75
8/5/2006,Backgammon,92
8/5/2006,Hezbollah,91
8/6/2006,Hezbollah,83
8/6/2006,Iceland,50
8/7/2006,Bear,47
8/8/2006,Anarchism,63
8/14/2006,Anarchism,49
8/15/2006,Cane_Toad,123
8/16/2006,Anarchism,63
8/20/2006,Caffeine,61
8/22/2006,Anarchism,52
8/24/2006,Anarchism,55
8/28/2006,Anarchism,48
8/29/2006,Cardiff,50
8/29/2006,Greece,50
8/31/2006,Drum_and_bass,84
8/31/2006,Arsenal_F.C.,72
9/1/2006,Arsenal_F.C.,57
9/3/2006,Andre_Agassi,102
9/4/2006,Drum_and_bass,67
9/4/2006,Andre_Agassi,96
9/5/2006,Andre_Agassi,69
9/6/2006,England,55
9/8/2006,Abraham_Lincoln,54
9/10/2006,Bongo_(antelope),91
9/11/2006,Bipolar_disorder,56
9/13/2006,Bill_Clinton,50
9/13/2006,African_American,71
9/13/2006,Computer_science,54
9/14/2006,Bill_Gates,47
9/16/2006,Azerbaijan,61
9/16/2006,Caffeine,147
9/17/2006,Azerbaijan,46
9/17/2006,Anarchism,48
9/18/2006,Argentina,128
9/19/2006,Argentina,51
9/20/2006,"Cincinnati,_Ohio",51
9/21/2006,Argentina,48
9/21/2006,Christopher_Columbus,46
9/22/2006,Argentina,60
9/22/2006,AK-47,192
9/22/2006,Chiropractic,62
9/24/2006,Athens,91
9/25/2006,Black_people,99
9/26/2006,Leonardo_da_Vinci,49
9/26/2006,Chuck_Yeager,47
9/27/2006,Barnard_College,77
10/2/2006,Eritrea,63
10/2/2006,Dimethyltryptamine,94
10/2/2006,Black_people,72
10/2/2006,"Detroit,_Michigan",265
10/3/2006,Bill_Clinton,50
10/3/2006,Anarchism,70
10/4/2006,Labour_Party_(UK),70
10/4/2006,Anarchism,93
10/5/2006,Christopher_Columbus,67
10/6/2006,Anarchism,64
10/6/2006,Black_people,54
10/6/2006,Christianity,47
10/8/2006,Black_people,118
10/8/2006,Afghanistan,48
10/9/2006,Black_people,58
10/9/2006,Christopher_Columbus,109
10/10/2006,Adversarial_system,52
10/16/2006,Elvis_Presley,52
10/16/2006,The_Church_of_Jesus_Christ_of_Latter-day_Saints,65
10/18/2006,The_Church_of_Jesus_Christ_of_Latter-day_Saints,59
10/19/2006,Christianity,56
10/22/2006,Connecticut,50
10/22/2006,Caste,48
10/24/2006,Black_people,75
10/25/2006,Cattle,50
10/25/2006,Cat,64
10/25/2006,Black_people,53
10/26/2006,Batman,69
10/26/2006,Anarcho-capitalism,50
10/26/2006,Afghanistan,76
10/27/2006,Batman,52
10/27/2006,Aaliyah,48
10/30/2006,Afghanistan,56
10/31/2006,Albert_Einstein,48
11/2/2006,Bill_Gates,58
11/2/2006,The_Church_of_Jesus_Christ_of_Latter-day_Saints,52
11/2/2006,Albert_Einstein,49
11/6/2006,Chaos,63
11/6/2006,Cairo,66
11/7/2006,Berlin,46
11/7/2006,Bill_Gates,60
11/7/2006,Connecticut,78
11/8/2006,Donald_Rumsfeld,306
11/10/2006,Christmas,65
11/10/2006,Albert_Einstein,69
11/10/2006,Cairo,117
11/13/2006,Christmas,60
11/14/2006,American_Samoa,50
11/15/2006,Albert_Einstein,46
11/15/2006,Entropy,56
11/17/2006,Brazil,50
11/20/2006,Bill_Gates,56
11/22/2006,Blackbeard,52
11/22/2006,Diacritic,66
11/23/2006,Britney_Spears,95
11/24/2006,Christianity,50
11/24/2006,Britney_Spears,50
11/25/2006,Britney_Spears,53
11/26/2006,Britney_Spears,50
11/27/2006,Christianity,70
11/27/2006,Britney_Spears,56
11/28/2006,Britney_Spears,63
11/28/2006,Arabic_language,71
11/28/2006,American_Civil_War,51
11/29/2006,Afghanistan,55
11/29/2006,Charles_Dickens,47
11/29/2006,Britney_Spears,91
11/30/2006,Afghanistan,71
11/30/2006,Chess,49
12/1/2006,Christmas,72
12/3/2006,Christmas,88
12/4/2006,Britney_Spears,93
12/5/2006,Fiji,72
12/5/2006,David_Beckham,51
12/5/2006,Christmas,47
12/5/2006,Britney_Spears,53
12/5/2006,Charles_Dickens,46
12/5/2006,"Hamilton,_Ontario",49
12/5/2006,Down_syndrome,533
12/5/2006,Christopher_Columbus,57
12/5/2006,Hypnosis,50
12/6/2006,December_6,53
12/6/2006,Christmas,92
12/6/2006,Britney_Spears,90
12/6/2006,Down_syndrome,63
12/7/2006,Christmas,150
12/8/2006,Christmas,68
12/8/2006,Brazil,46
12/8/2006,December_8,49
12/8/2006,Down_syndrome,46
12/9/2006,Britney_Spears,59
12/10/2006,Augusto_Pinochet,184
12/10/2006,Britney_Spears,53
12/11/2006,Augusto_Pinochet,143
12/11/2006,Chess,80
12/11/2006,Democracy,51
12/11/2006,England,61
12/11/2006,Evolution,60
12/12/2006,"Aberdeen,_South_Dakota",84
12/12/2006,Augusto_Pinochet,72
12/12/2006,American_Revolutionary_War,56
12/12/2006,Bigfoot,46
12/13/2006,Augusto_Pinochet,59
12/13/2006,Domestic_violence,54
12/14/2006,Augusto_Pinochet,85
12/17/2006,Afghanistan,47
12/18/2006,Berber_languages,58
12/20/2006,Cyprus,51
12/22/2006,Bohdan_Khmelnytsky,51
12/24/2006,DNA,47
12/25/2006,December_25,52
12/26/2006,Boxing_Day,76
12/28/2006,Bermuda_Triangle,74
12/31/2006,Germany,82
1/1/2007,Anthroposophy,52
1/7/2007,British_Museum,50
1/8/2007,British_Museum,72
1/9/2007,Lockheed_AC-130,56
1/9/2007,British_Museum,65
1/9/2007,Apple_Inc.,67
1/10/2007,Apple_Inc.,56
1/10/2007,Alaska,52
1/11/2007,Black,61
1/11/2007,Albert_Einstein,59
1/13/2007,Confucius,47
1/13/2007,David_Beckham,64
1/14/2007,Amygdalin,50
1/15/2007,David_Beckham,109
1/16/2007,David_Beckham,64
1/16/2007,B-17_Flying_Fortress,56
1/17/2007,B-17_Flying_Fortress,46
1/17/2007,Bras,102
1/17/2007,Hinduism,76
1/17/2007,David_Beckham,55
1/17/2007,European_Union,62
1/17/2007,Elizabeth_I_of_England,49
1/18/2007,Bras,47
1/18/2007,European_Union,52
1/18/2007,David_Beckham,59
1/18/2007,England,53
1/19/2007,Bras,102
1/19/2007,Abortion,47
1/20/2007,European_Union,77
1/21/2007,Chicago_Bears,65
1/24/2007,Belize,59
1/24/2007,Baroque,46
1/29/2007,Antibiotic_resistance,46
1/29/2007,Cricket_World_Cup,59
1/30/2007,Abraham_Lincoln,50
1/31/2007,Abraham_Lincoln,47
2/1/2007,Abraham_Lincoln,70
2/2/2007,Marriage,58
2/2/2007,"Hamilton,_Ontario",59
2/5/2007,Bear,51
2/11/2007,Flynn_effect,53
2/12/2007,Black_people,57
2/13/2007,Alexandria,82
2/13/2007,DNA,260
2/15/2007,DNA,51
2/15/2007,Aberdeen,55
2/15/2007,Cloning,59
2/16/2007,February_16,61
2/17/2007,History_of_Christianity,58
2/17/2007,Black_people,51
2/17/2007,Britney_Spears,65
2/17/2007,England,59
2/18/2007,Black_people,51
2/19/2007,People's_Republic_of_China,48
2/19/2007,Aberdeen,52
2/21/2007,Battleship,63
2/23/2007,Britney_Spears,54
2/26/2007,Archaeopteryx,62
2/26/2007,Academy_Award,52
2/26/2007,Black_people,91
2/27/2007,Albert_Einstein,61
2/27/2007,Berlin_Wall,54
2/28/2007,Black_people,77
2/28/2007,Albert_Einstein,71
2/28/2007,Antioxidant,55
3/1/2007,Cat,52
3/1/2007,Immune_system,189
3/1/2007,Albert_Einstein,90
3/2/2007,American_football,52
3/2/2007,Antioxidant,46
3/3/2007,Heavy_metal_music,83
3/3/2007,Galaxy,220
3/4/2007,Black_people,46
3/4/2007,Albert_Einstein,52
3/5/2007,Black_people,46
3/8/2007,Albert_Einstein,60
3/8/2007,Artificial_intelligence,48
3/9/2007,Captain_America,65
3/9/2007,DNA_replication,48
3/9/2007,Albert_Einstein,59
3/10/2007,Albert_Einstein,63
3/10/2007,Continuity_Irish_Republican_Army,49
3/11/2007,Albert_Einstein,73
3/11/2007,Berlin,83
3/13/2007,Albert_Einstein,92
3/14/2007,Albert_Einstein,101
3/15/2007,Japan,69
3/15/2007,Albert_Einstein,49
3/16/2007,Germany,48
3/16/2007,Athens,56
3/17/2007,Battleship,68
3/20/2007,Arab,65
3/20/2007,American_Civil_War,51
3/20/2007,Video_game,48
3/21/2007,Arab,62
3/22/2007,Abraham_Lincoln,88
3/29/2007,"Cleveland,_Ohio",297
3/30/2007,Christianity,63
3/30/2007,Encyclop,78
3/31/2007,Antibody,65
3/31/2007,Christianity,47
4/2/2007,April_2,54
4/3/2007,History_of_Christianity,55
4/3/2007,Aquarium,82
4/3/2007,Heavy_metal_music,53
4/3/2007,April_3,47
4/3/2007,Edinburgh,58
4/3/2007,Encyclop,46
4/4/2007,Atheism,71
4/5/2007,Athens,101
4/5/2007,Iran,51
4/5/2007,Mormon,52
4/6/2007,Athens,71
4/7/2007,A.S._Roma,53
4/8/2007,Albanians,51
4/10/2007,Abraham_Lincoln,47
4/10/2007,Bill_Gates,53
4/11/2007,Atheism,61
4/11/2007,Abraham_Lincoln,60
4/11/2007,A.S._Roma,52
4/11/2007,Anton_Chekhov,327
4/12/2007,Atheism,87
4/12/2007,Ecuador,48
4/12/2007,David_Beckham,47
4/13/2007,April_13,52
4/13/2007,Bongo_(antelope),64
4/13/2007,Benito_Mussolini,49
4/13/2007,Atheism,85
4/14/2007,Global_warming_controversy,50
4/15/2007,British_Museum,47
4/16/2007,Atheism,67
4/16/2007,April_16,84
4/17/2007,April_16,51
4/17/2007,April_17,53
4/18/2007,April_18,46
4/18/2007,Cloning,57
4/19/2007,Atheism,72
4/19/2007,April_19,58
4/19/2007,Cuban_Missile_Crisis,50
4/20/2007,April_20,67
4/21/2007,Blue_Angels,61
4/22/2007,Blue_Angels,122
4/23/2007,Barry_Bonds,47
4/23/2007,April_23,59
4/23/2007,Boris_Yeltsin,215
4/24/2007,Battle_of_Gettysburg,57
4/24/2007,England,47
4/24/2007,Boris_Yeltsin,107
4/25/2007,April_25,48
4/26/2007,Cinco_de_Mayo,47
4/26/2007,Boris_Yeltsin,52
4/26/2007,April_26,59
4/27/2007,Abraham_Lincoln,63
4/27/2007,April_27,55
4/27/2007,Evolution,53
4/27/2007,Cinco_de_Mayo,77
4/29/2007,April_29,50
4/29/2007,Abraham_Lincoln,50
5/1/2007,Kabbalah,48
5/1/2007,Liverpool_F.C.,48
5/2/2007,Italy,52
5/2/2007,Liverpool_F.C.,72
5/3/2007,The_Church_of_Jesus_Christ_of_Latter-day_Saints,47
5/3/2007,Antarctica,55
5/3/2007,Baseball,54
5/4/2007,The_Church_of_Jesus_Christ_of_Latter-day_Saints,49
5/6/2007,Alfred_Russel_Wallace,50
5/10/2007,Andy_Warhol,50
5/10/2007,Bill_Clinton,81
5/11/2007,The_Church_of_Jesus_Christ_of_Latter-day_Saints,57
5/12/2007,Eurovision_Song_Contest,246
5/13/2007,Evolution,63
5/14/2007,Cell_nucleus,189
5/14/2007,The_Church_of_Jesus_Christ_of_Latter-day_Saints,71
5/15/2007,Black_Death,50
5/15/2007,Albert_Einstein,52
5/17/2007,Democracy,95
5/18/2007,The_Church_of_Jesus_Christ_of_Latter-day_Saints,51
5/18/2007,Arab,49
5/18/2007,Indonesia,66
5/19/2007,Bible,52
5/19/2007,Elvis_Presley,47
5/23/2007,A.C._Milan,59
5/24/2007,American_Football_League,50
5/28/2007,Calvin_Coolidge,147
5/30/2007,The_Church_of_Jesus_Christ_of_Latter-day_Saints,58
5/31/2007,Black_Death,68
6/3/2007,Evolution,54
6/3/2007,Bodhidharma,49
6/6/2007,Dominican_Republic,59
6/6/2007,Antibody,65
6/7/2007,Antibody,47
6/8/2007,Atheism,146
6/9/2007,Benzodiazepine,66
6/12/2007,Barry_Bonds,52
6/17/2007,Ibn_al-Haytham,56
6/18/2007,Brazil,61
6/19/2007,Barry_Bonds,54
6/20/2007,Cyprus,76
6/21/2007,Elvis_Presley,68
6/21/2007,"Boston,_Massachusetts",151
6/22/2007,Albania,56
6/22/2007,Blade_Runner,56
6/22/2007,Antioxidant,86
6/23/2007,Kuiper_belt,49
6/23/2007,Elvis_Presley,66
6/23/2007,Estonia,50
6/23/2007,King_Crimson,60
6/24/2007,Elvis_Presley,63
6/24/2007,,61
6/26/2007,Elvis_Presley,81
6/27/2007,Albania,53
6/28/2007,Autism,104
6/28/2007,Gordon_Brown,186
6/29/2007,Adam_Carolla,59
6/29/2007,Autism,47
7/2/2007,Elvis_Presley,48
7/5/2007,Javier_Saviola,56
7/6/2007,Albania,56
7/11/2007,German_Empire,60
7/12/2007,Homeopathy,70
7/13/2007,David_Beckham,69
7/14/2007,David_Beckham,55
7/15/2007,David_Beckham,61
7/18/2007,Cameroon,92
7/19/2007,Benzodiazepine,57
7/20/2007,David_Beckham,50
7/21/2007,Military_of_the_Democratic_Republic_of_the_Congo,56
7/21/2007,History_of_Russia,137
